NameCorp,AfterEmerging,Assets1Before,Assets2Before,Assets3Before,AssetsBefore,AssetsCurrDollar,AssetsEmerging,AssetsPetCurrDollar,AssetsPetition,BondISIN,BondPriceDisp,BondPriceFile,BondPriceMoveDuring,CaseNum,CaseNumRefile,CaseNumTransfer,CeoFiling,CeoNotes,CeoReplaced,CikBefore,CikEmerging,CityChange,CityDisposed,CityFiledCategory,Chapter,CityFiled,CityRefile,ClaimsAgent,ClaimsAgentFirm,ClaimsSecDiscloState,ClaimsUnsec,CommCred,CommCredAtty,CommCredAttyCol,CommCredAttySubstit,CommEquity,CommEquityAtty,CommEquityAttyCol,CommEquityAttySubstit,CommRetirees,CommRetireesName,CommRetireesRequest,CommonName,CPIndexAtConf,CPIndexAtFiling,Cusip6,Cusip9,Date10k1Before,Date10k2Before,Date10k3Before,Date10kBefore,Date10kBeforeLink,Date10kDuring,Date10kDuringLink,Date10kEmerging,Date10kEmergLink,Date10kSalesEmerge,Date363Sale,DateCeoBegin,DateCeoEnd,DateCommCred,DateCommCredBy,DateConfirmed,DateConvDismiss,DateDipLoan1FinOrd,DateDiscloState,DateDisposed,DateEffective,DateEmerging,DateFeeRev,DateFiled,DateJudgeAppt,DateRefile,DateTransferred,DateTurnEngage,DaysDocsAfter,DaysEmergeToRefile,DaysFiledTo363,DaysIn,DENYOther,DipAtty,DipAttyColDoc,DipAttyColDkt,DipFinAdvPetition,DipLoan,DipLoan1Lender,DipLoan1Total,DipLoan2Lender,DipLoan2Total,DipLoanAdditional,DipLoanDoc,Disposition,DistFiled,DistribComments,DistribEquity,DistribSecDiscloState,DistribUnsec,DistribUnsecPct,DktNumConf,DktOnPacer,DocsOnPacer,DocsPublic,EbitBefore,EbitCurrDollars,EbitdaBefore,EbitdaEmerging,EbitEmerging,Emerge,Emerg10k,EmplBefore,EmplEmerging,EmplUnionBefore,EmplUnionEmerging,Examiner,ExaminerName,ExaminerRequest,FeeReviewer,FilingRate,FirmEnd,FreshStartAccounting,GdpDisp,GdpFiling,GdpRefiling,GdpYear1AftDisp,GdpYear1BefFile,GdpYear2AftDisp,GdpYear2BefFile,GvkeyBefore,GvkeyEmerging,HeadCAtFiling,HeadCityPctPop,HeadCityPop,HeadCourtCity,HeadCourtCityToDE,HeadStAtFiling,HqToForum,HqToHqCtCity,IncomeBEBefore,IncomeBEEmerging,IncPublic,InterCompanyClaims,InterCompanyDistrib,InterCompanyPct,JudgeApptDist,JudgeDisposition,JudgeFiling,Liab1Before,Liab2Before,Liab3Before,LiabBefore,LiabCurrDollar,LiabEmerging,LiabPetCurrDollar,LiabPetition,MonthDisp,MonthFiled,MonthRefile,MonthsIn,Multiple363Sales,NameEmerging,NetIncomeBefore,NetIncomeEmerging,NumberFiling,Prepackaged,PrimaryKey,Prime1YearAftDisp,Prime1YearBefFile,Prime2YearAftDisp,Prime2YearBefFile,PrimeDisp,PrimeFiling,PrimeRefiling,ProfFees10k,ProfFees10kNotes,Refile,Refile5,Refile5RepRange,RelatedFilings,Sale,Sale363,SaleConf,SaleIntended,Sales1Before,Sales2Before,Sales3Before,SalesBefore,SalesCurrDollar,SalesEmerging,Shop,SICDescription,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,SubCon,TortCause,TransferCity,TransferDist,Transferred,Trustee,TrusteeFor,TrusteeName,TrusteeRequest,TrusteeRequestor,TurnFirm,TurnOffice,TurnPerson,TurnRepRange,TurnType,UsPopFiling,Voluntary,YearConfirmed,YearDisposed,YearEmerged,YearFiled,YearsEmergeToRefile
General Homes Corp.,,339,480,633,339,773,,637,280,,,,,90-04810,98-36224,,James W. Olafson,End date not before 3-25-1991,Replaced,,,,Houston,Houston,11,Houston,Houston,,,,,yes,,,,no data in published sources,,,,,,,,137.4,130.4,370054,207,9/30/1989,9/30/1988,9/30/1987,9/30/1989,,,,,,,,7/15/1989,9/9/9998,9/4/1990,,10/30/1991,,,,10/30/1991,,10/30/1991,,7/10/1990,3/21/1985,6/15/1998,,,,2420,,477,OT,Sheinfeld Maley,"Sheinfeld, Maley & Kay",,,,,,,,,,confirmed,TX SD,,,,,,,none,none,no,-9.774,-22.246,-6.904,,,yes,no,475,,1,,,,,no data,30,,,58.002,57.860,73.517,60.544,56.877,62.122,54.738,005059,,Houston,0.65%,"1,630,672",TX Houston,1318,TX,1,1,-154.588,,TX,,,,TX SD,Letitia Z. Clark,,488,474,,488,"1,111",,,,10,7,6,15.9,,General Homes,-155.026,,,free fall,169,6.00,11.00,6.00,9.00,8.00,10.00,8.50,,,Refiled,emerged no refile 5,yes,,no,no,no,,258,263,321,258,"588,268,042",,No,General Contractors-Single-Family Houses,C: Construction,152 General Building Contractors-residential,15 Building Construction General Contractors And Operative Builders,1521,,Not tort,,,no,,,,,,,,,,,"249,620,000",involuntary,1991,1991,1991,1990,6.6
General Maritime Corporation,,"1,782",,,"1,782","2,338","1,361","2,255","1,719",,,,,11-15285,,,John P. Tavlarios,End date is merger date with Navig8,NoReplace,0001443799,0001443799,,New York,New York,11,New York,,yes,"The Garden City Group, Inc.","1,035.565",374.530,yes,Jones Day,Jones Day,,no,,,,no,,,,229.8,226.2,370290,799,12/31/2010,,,12/31/2010,12/31/2010,,,12/31/2015,,12/31/2015,,7/26/2011,5/7/2015,11/29/2011,,5/7/2012,,12/15/2011,2/29/2012,5/7/2012,5/17/2012,5/7/2012,,11/17/2011,11/30/2006,,,,,,,172,NY,Kramer Levin,Kramer Levin Naftalis & Frankel LLP,,,yes,"Nordea Bank Finland PLC, New York Branch; DNB Bank ASA, HSH Nordbank AG; Citibank, N.A.; Skandinaviska Enskilda Banken AB (publ); The Royal Bank of Scotland",75,,,,yes,confirmed,NY SD,,0,"1,035.565",7.020,1.9%,794,yes,yes,yes,-5.171,-6.784,80.916,197.090,154.631,yes,yes,102,35,1,1,no,,no,pending,23,,,99.998,98.737,,101.295,97.256,103.778,94.618,141462,141462,New York,2.65%,"8,244,910",NY New York,106,NY,1,1,-216.662,129.569,Marshall Islands,,,,NY SD,Martin Glenn,Allan L. Gropper,"1,450",,,"1,450","1,902",844,"1,854","1,413",5,11,,5.7,,General Maritime Corporation,-216.662,129.569,57,prenegotiated,935,3.25,3.25,3.25,3.25,3.25,3.25,,,,,emerged no refile 5,yes,,yes,no,yes,no,387,,,387,"507,926,550",357,No,Deep Sea Foreign Transportation of Freight,"E: Transportation, Communications, Electric, Gas",441 Deep Sea Foreign Transportation Of Freight,44 Water Transportation,4412,,Not tort,,,no,,,,,,none,no turnfirm,none,no,none,"311,590,000",voluntary,2012,2012,2012,2011,
General Motors Corporation,Acquired itself with help from US gov.,"91,047",,,"91,047","125,278","136,295","113,229","82,290",no data,,,,09-50026,,,Frederick A. Henderson,,Replaced,0000040730,0001467858,,New York,New York,11,New York,,yes,"The Garden City Group, Inc.",,,yes,Kramer Levin,Kramer Levin Naftalis & Frankel LLP,,no,,,,no; denied,,Retirees' Association,,223.5,215.7,37045V,100,12/31/2008,,,12/31/2008,12/31/2008,,,12/31/2009,12/31/2009,12/31/2010,7/5/2009,3/29/2009,12/1/2009,6/3/2009,,3/29/2011,,6/25/2009,12/8/2010,3/29/2011,3/31/2011,7/5/2009,,6/1/2009,9/5/2000,,,5/29/2009,,,34,666,NY,Weil Gotshal,"Weil, Gotshal & Manges LLP",,,yes,United States Department of the Treasury; Export Development Canada,33300,United States Department of the Treasury; Export Development Canada,1175,,yes,confirmed,NY SD,,,,,,9941,yes,yes,yes,"-11,982.000","-16,486.888","-2,051.000","-4,431.000","-12,193.000",yes,yes,"243,000","217,000","62,000","52,000",no,,no,pending,91,continuing 2014-05-08,yes,97.022,93.280,,99.545,97.163,101.154,95.840,005073,005073,Detroit,0.30%,"910,848",MI Detroit,435,MI,484,1,"-30,860.000","104,821.000",DE,,,,NY SD,Robert E. Gerber,Gerber,"176,387",,,"176,387","242,703","107,340","237,782","172,810",3,6,,22.2,,General Motors Company,"-30,860.000","104,821.000",4,free fall,328,3.25,5.00,3.25,8.25,3.25,3.25,,,,,emerged no refile 5,yes,,yes,yes,,yes,"148,979",,,"148,979","204,990,821,803","135,592",Yes,Motor Vehicle and Car Bodies,D: Manufacturing,371 Motor Vehicles and Equipment,37 Transportation Equipment,3711,,Not tort,,,no,,,,,,AlixPartners,Chief Executive Officer,"Koch, Al",yes,manage (temps),"306,770,000",voluntary,2011,2011,2009,2009,
"Genesis Health Ventures, Inc.","Spun off Genesis Health Ventures and changed own name to Neighborcare, Inc.","2,430","2,627","1,434","2,430","4,183","1,835",,,,,,,00-02692,,,Michael R. Walker,,Replaced,0000874265,0000874265,,Wilmington,Wilmington,11,Wilmington,,,,,,yes,Akin Gump,"Akin, Gump, Strauss, Hauer & Feld, LLP/ Pachulski Stang Ziehl Young & Jones PC",,denied,,,,no,,,,178.3,172.4,64015Y,104,9/30/1999,,,9/30/1999,9/30/1999,,,9/30/2001,9/30/2001,9/30/2002,,5/15/1985,5/28/2002,7/12/2000,,9/20/2001,,,7/6/2001,9/20/2001,10/2/2001,9/20/2001,4/26/2001,6/22/2000,9/5/1985,,,,-57,,,455,DE,Weil Gotshal,,"Weil, Gotshal & Manges, LLP / Richards, Layton & Finger PA",,yes,,,,,,,confirmed,DE,,,,,,2335,yes,docs after date,no,151.341,260.543,226.296,97.513,-9.770,yes,yes,"48,000","46,000","5,200","5,100",no,,no,fee auditor,80,,yes,81.507,81.031,,83.252,76.993,85.949,73.517,024187,024187,Kennett Square,0.00%,"5,273",PA Philadelphia,28,PA,10,35,-268.473,"-1,232.191",PA,,,,NJ,Judith H. Wizmur,Peter J. Walsh,"1,842",,,"1,842","3,171","1,000",,,9,6,,15.2,,"Genesis Health Ventures, Inc.",-270.573,292.632,,free fall,873,4.75,7.75,4.00,8.50,6.00,9.50,,89.33,Yes,,emerged no refile 5,yes,,no,no,no,no,"1,866","1,405","1,100","1,866","3,213,164,951","2,624",Yes,Skilled Nursing Care Facilities,I: Services,805 Nursing and Personal Care Facilities,80 Health Services,8051,,Not tort,,,no,no,,,no,no,,,,,,"282,160,000",voluntary,2001,2001,2001,2000,
Geneva Steel Company (1999),Refiled,605,,,605,"1,092",,"1,004",557,,,,,99-21130,02-21455,,Joseph A. Cannon,,Replaced,0000860192,,,Salt Lake City,Other,11,Salt Lake City,Salt Lake City,,,,,yes,Parsons Behle,Parsons Behle & Latimer,,no,,,,no,,,,174.0,164.5,372257,105,9/30/1998,,,9/30/1998,9/30/1998,9/30/1999,9/30/1999,,,,,10/15/1992,4/9/2001,2/5/1999,,12/8/2000,,,8/24/2000,12/8/2000,1/3/2001,12/8/2000,,2/1/1999,7/1/1982,1/25/2002,,,,413,,676,OT,Cadwalader Wickersham,"Cadwalader, Wickersham & Taft",,,yes,,,,,,,confirmed,UT,,,,,,1096,yes,yes,no,39.205,70.735,81.477,,,yes,no,"1,625",,"1,315",,yes,Alan M. Singer,yes,no,45,,,81.594,76.355,82.410,81.733,72.843,83.361,69.470,021158,021158,Vineyard,0.00%,144,UT Salt Lake City,1912,UT,31,41,-18.943,,UT,,,,UT,Glen E. Clark,J. Thomas Greene,495,,,495,893,,873,484,12,2,1,22.5,,"Geneva Steel LLC, owner Geneva Steel Holdings, Inc",-18.943,,,free fall,231,5.00,8.50,4.25,8.25,9.50,7.75,4.75,,No. No 10k for 2000 or 2001,Refiled,emerged refile 5,yes,,yes,no,yes,no,720,727,713,720,"1,299,868,018",,No,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling",D: Manufacturing,"331 Steel Works, Blast Furnaces, And Rolling And",33 Primary Metal Industries,3312,,Not tort,,,no,no,,,no,no,,,,,,"279,040,000",voluntary,2000,2000,2000,1999,1.1
Geneva Steel Holdings Corp. (2002),,,484,475,484,793,,434,264,,,,,02-21455,,,Ken C. Johnsen,,NoReplace,0001128709,,,Salt Lake City,Other,11,Salt Lake City,,,,,,yes,Parsons Behle,Parsons Behle & Latimer,,no,,,,no,,,,201.5,181.0,372257,105,,9/30/2000,,9/30/2000,9/30/2000,,,,,,2/6/2004,4/9/2001,4/19/2005,1/28/2002,,11/9/2006,,,5/19/2006,11/9/2006,12/1/2006,,,1/25/2002,7/1/1982,,,,,,742,"1,749",OT,Kaye Scholer,"Kaye Scholer LLP / LeBoeuf, Lamb, Greene & MacRae LLP",,,no,,,,,,no,confirmed,UT,,,,,,2905,yes,yes,no,-9.916,-16.260,32.589,,,no,no,"1,800",,"1,512",,no,,no,no,83,,,94.953,82.410,,97.005,81.329,94.541,79.582,021158,,Vineyard,0.00%,149,UT Salt Lake City,1912,UT,31,41,-8.971,,DE,,,,UT,Glen E. Clark,Glen E. Clark,,571,,571,936,,316,193,11,1,,58.3,,liquidated,-8.971,,6,free fall,243,7.50,9.00,4.00,8.50,8.25,4.75,,,No. No 10k for any years,,not emerged 5,yes,,yes,yes,,no,,564,,564,"924,826,011",,No,,"H: Finance, Insurance, And Real Estate",677,67 Holding And Other Investment Offices,6770,,Pension,,,no,yes,all,James T. Marcus,yes,Official Committee of Unsecured Creditors,,,,,,"287,630,000",voluntary,2006,2006,,2002,
Genicom Corporation,Name changed to TallyGenicom LP post merger with Talley AG in 2003; acquired by Arsenal Capital Part,,230,250,230,399,,277,160,,,,,00-01383,,,"Shaun K. Donnellan, acting CEO",End date is confirmation date; beceme CRO of Railworks on 8/21/2001,Replaced,0000766738,,,Wilmington,Wilmington,11,Wilmington,,,,,,yes,,,,no,,,,yes,Retirees Committee,Debtor,,177.5,171.2,372282,103,,1/3/1999,,1/3/1999,1/3/1999,,,,,,,3/2/2000,8/3/2001,3/27/2000,,8/3/2001,,,5/12/2001,8/3/2001,,8/3/2001,,3/10/2000,10/15/1982,,,,-8,,,511,DE,Reed Smith,,"Reed Smith Shaw & McClay LLP / Walsh, Monzack & Monaco PA",,yes,,,,,,,confirmed,DE,,,,,,785,yes,docs after date,no,3.022,5.239,17.423,,,yes,no,"1,511",,,,no,,no,no,80,,,81.507,79.582,,83.252,76.355,85.949,72.843,012329,,Chantilly,0.01%,"41,041",VA Alexandria,105,VA,117,25,-22.059,,DE,,,,OH SD,Randall J. Newsome,Peter J. Walsh,,205,,205,355,,,,8,3,,17.0,multiple,Genicom,-22.059,,,free fall,298,4.75,7.75,4.00,8.50,6.75,8.75,,,No. No 10k for any years,,emerged no refile 5,yes,,yes,yes,,"yes, contract",,455,421,455,"787,933,624",,Yes,"Computer Peripheral Equipment, Not Elsewhere Classified",D: Manufacturing,357 Computer And Office Equipment,35 Industrial and Commercial Machinery and Computer Equipment,3577,,Not tort,,,no,no,,,no,no,,,,,,"282,160,000",voluntary,2001,2001,2001,2000,
"GenTek, Inc.",,"1,165",,,"1,165","1,907","1,067","1,996","1,220",US37245XAC83,3,5,-2,02-12986,,,Richard A. Russell,,Replaced,0001077552,0001077552,,Wilmington,Wilmington,11,Wilmington,,,,,,yes,Stroock Stroock,"Stroock & Stroock & Lavan LLP / Morris, Nichols, Arscht & Tunnell",,no,,,,no,,,,185.0,181.3,37245X,203,12/31/2001,,,12/31/2001,12/31/2001,12/31/2002,12/31/2002,12/31/2003,12/31/2003,12/31/2004,,4/15/1999,5/24/2005,10/28/2002,,10/7/2003,,,8/28/2003,10/7/2003,11/10/2003,10/7/2003,,10/11/2002,9/9/1998,,,,,,,361,DE,Skadden Arps,"Skadden, Arps, Slate, Meagher & Flom LLP",,,yes,,,,,,,confirmed,DE,,,,,,1472,yes,yes,no,14.671,24.017,82.988,105.363,61.263,yes,yes,"8,600","6,100","3,200","1,700",no,,no,no,83,,yes,86.941,83.361,,89.859,81.733,92.539,81.594,062865,062865,Hampton,0.00%,"9,185",NH Manchester,309,NH,328,37,-170.844,495.484,DE,,,,DE,Mary F. Walrath,Mary F. Walrath,"1,307",,,"1,307","2,140",788,"2,384","1,456",10,10,,12.0,,"GenTek, Inc.",-170.844,495.484,,free fall,27,4.75,5.50,6.75,9.50,4.00,4.75,,31.63,Yes,,emerged no refile 5,yes,,no,no,no,no,"1,244",,,"1,244","2,037,176,628",844,Yes,Motor Vehicle Parts and Accessories,D: Manufacturing,371 Motor Vehicles and Equipment,37 Transportation Equipment,3714,,Not tort,,,no,no,,,no,no,,,,,,"287,630,000",voluntary,2003,2003,2003,2002,
Genuity Inc.,,"2,995",,,"2,995","4,902",,"3,182","1,944",,,,,02-43558,,,Paul R. Gudonis,,NoReplace,0001110794,,,New York,New York,11,New York,,,,,,yes,Kramer Levin,Kramer Levin Naftalis & Frankel LLP,,no,,,,no,,,,184.5,181.3,37248E,202,12/31/2001,,,12/31/2001,12/31/2001,,,,,,1/24/2003,4/6/2000,2/4/2003,12/10/2002,,11/21/2003,,,10/1/2003,11/21/2003,12/2/2003,,,11/27/2002,9/1/1982,,,,,,58,359,NY,Ropes Gray,Ropes & Gray,,,no,,,,,,no,confirmed,NY SD,,,,,,1830,yes,yes,no,"-1,151.522","-1,885.098","-1,016.122",,,no,no,"4,400",,1,,no,,no,no,83,,,86.941,83.361,,89.859,81.733,92.539,81.594,137357,,Woburn,0.01%,"37,354",MA Boston,296,MA,189,11,"-3,960.353",,DE,,,,NY SD,Prudence Carter Beatty,Prudence Carter Beatty,"3,099",,,"3,099","5,073",,"6,493","3,966",11,11,,12.0,,liquidated,"-3,960.353",,,free fall,832,5.00,5.00,7.00,9.50,4.00,4.25,,,No. No 10k for any years,,not emerged 5,yes,,yes,yes,,"yes, contract","1,221",,,"1,221","1,998,116,637",,Yes,,I: Services,"737 Computer Programming, Data Processing, And",73 Business Services,7370,,Not tort,,,no,no,,,no,no,,,,,,"287,630,000",voluntary,2003,2003,,2002,
Geo Specialty Chemicals Inc.,continuing in business,,270,,270,428,,,,US37246RAC07,56,33,23,04-19148,,,George P. Ahearn,Begin month and day are approximate; end date is effective date,Replaced,0001072548,,,Newark,Other,11,Newark,,yes,"The Trumbull Group, LLC",,,yes,Otterbourg Steindler,"Otterbourg, Steindler, Houston & Rosen, P.C.",,no,,,,no,,,,190.3,187.4,37246R,932,,12/31/2002,,12/31/2002,12/31/2002,,,,,,,7/1/1993,12/31/2004,3/29/2004,,12/20/2004,,5/5/2004,11/22/2004,12/20/2004,12/31/2004,12/20/2004,,3/18/2004,12/27/2001,,,3/31/2004,,,,277,OT,Thompson Hine,Thompson Hine & Flory LLP / Ravin Greenberg PC,,,yes,Deutsche Bank Trust Company Americas,15,,,,yes,confirmed,NJ,,,,,,1014,yes,yes,yes,10.825,17.144,26.155,,,yes,no,450,,186,,no,,no,no,29,,,89.859,87.439,,92.539,83.791,94.953,82.410,148220,,Cleveland,0.16%,"466,748",OH Cleveland,345,OH,392,1,-3.937,,OH,,,,NJ,Morris Stern,Morris Stern,,245,,245,389,,,,12,3,,9.2,,GEO Specialty Chemicals Inc.,-3.937,,,free fall,25,7.25,4.25,8.25,4.75,5.25,4.00,,,No. No 10k for any years,,emerged no refile 5,yes,,no,no,no,no,,164,,164,"259,736,969",,Yes,,D: Manufacturing,281 Industrial Inorganic Chemicals,28 Chemicals and Allied Products,2810,,Not tort,,,no,no,,,no,no,Conway Del Genio Gries & Co.,Chief Restructuring Advisor,Ronald F. Stengel,yes,advise,"292,810,000",voluntary,2004,2004,2004,2004,
Geokinetics Inc.,,393,,,393,501,,15,12,,,,,13-10472,18-33410,,David J. Crowley,DateCeoEnd is effective date of liquidation plan,NoReplace,0000314606,,,Wilmington,Wilmington,11,Wilmington,Houston,yes,"The Garden City Group, Inc.",,,no,,,,no,,,,no,,,,232.5,232.8,372910,307,12/31/2012,,,12/31/2012,12/31/2012,,,,,,,11/8/2012,10/31/2018,,,4/25/2013,,4/3/2013,2/7/2013,4/25/2013,5/10/2013,4/25/2013,,3/10/2013,1/25/2001,6/25/2018,,,,1887,,46,DE,Akin Gump,"Akin, Gump, Strauss, Hauer & Field LLP / Richards, Layton & Finger PA",,,yes,"American Securities Cantor Fitzgerald Securities as administrative agent and collateral agent; Opportunities Advisors, LLC and Gates Capital Management, Inc. (collectively, the ""Backstop DIP Lenders"")",25,,,,yes,confirmed,DE,,,,,,280,yes,yes,yes,-11.111,-14.167,112.689,,,yes,no,"5,695",,1,,no,,no,pending,26,,,101.295,101.154,114.223,103.778,99.545,106.933,97.022,012708,,Houston,0.70%,"2,197,374",TX Houston,1318,TX,1316,1,-82.961,,DE,,,,DE; PA ED,Kevin J. Carey,Kevin J. Carey,594,,,594,757,,447,351,4,3,6,1.5,,Geokinetics Inc.,-82.961,,10,prepackaged,982,3.25,3.25,3.25,3.25,3.25,3.25,5.00,,,Refiled,emerged no refile 5,yes,,no,no,no,no,596,,,596,"759,704,844",,Yes,Crude Petroleum and Natural Gas,B: Mining,131 Crude Petroleum and Natural Gas,13 Oil And Gas Extraction,1311,,Not tort,,,no,,,,,,none,no turnfirm,none,,none,"316,128,839",voluntary,2013,2013,2013,2013,5.2
"Geotek Communications, Inc.",,332,418,293,332,604,,,,,,,,98-01375,,,Yaron I. Eitan,,Replaced,0000844843,,,Wilmington,Wilmington,11,Wilmington,,,,,,yes,,"Baker & McKenzie / Rosenthal, Monhait, Gross & Goddess PA",,no,,,,no,,,,167.1,163.0,373654,102,12/31/1997,12/31/1996,12/31/1995,12/31/1997,12/31/1997,,,,,,,3/1/1989,6/30/1998,7/15/1998,neither,8/27/1999,,,5/21/1999,8/27/1999,3/10/2000,,,6/29/1998,10/28/1993,,,,731,,,424,DE,Kaye Scholer,"Kaye, Scholer, Fierman, Hays & Handler",,,yes,,,,,,,confirmed,DE,,,,,,830,yes,docs after date,no,-165.594,-301.520,-135.069,,,no,no,685,,1,,no,,no,no,31,,,78.012,73.517,,81.112,70.625,81.507,67.708,018553,,Montvale,0.00%,"6,975",NJ Newark,99,NJ,119,28,-225.688,,DE,,,,DE,Peter J. Walsh,,371,283,176,371,675,,,,8,6,,14.1,,liquidated,-219.579,,,free fall,424,9.50,8.50,6.50,8.25,8.25,8.50,,,No. No 10k for any years,,not emerged 5,yes,,no,no,no,maybe,66,46,36,66,"119,283,261",,Yes,Radio and Television Broadcasting and Communications Equipment,D: Manufacturing,366 Communications Equipment,36 Electronic And Other Electrical Equipment And Components,3663,,Not tort,,,no,no,,,no,no,,,,,,"275,850,000",voluntary,1999,1999,,1998,
Gilbert Robinson Inc.,Changed name to Houlihan's Restaurant Group,252,,,252,542,204,510,237,,,,,91-15383,02-40359,,Frederick R. Hipp,,Replaced,,,,New York,New York,11,New York,"Kansas City, MO",,,,,yes,,,,no,,,,no,,,Houlihan's,141.3,137.8,375422,102,,12/25/1989,,12/25/1989,,,,12/27/1993,,,,8/1/1988,12/15/1997,12/12/1991,,9/15/1992,,,6/19/1992,9/15/1992,,9/15/1992,,11/26/1991,7/22/1991,1/23/2002,,,,3417,,294,NY,Robinson Silverman,Robinson Silverman Pearce Aronsohn& Berman LLP,,,,,,,,,,confirmed,NY SD,,,,,,,yes,none,no,14.254,30.701,32.340,,,yes,yes,"11,000",,,,no,,no,no,41,,,59.919,58.002,82.410,61.289,57.333,63.947,56.989,021379,999999,Kansas City,0.17%,"435,781",MO Kansas City,1017,MO,1094,1,-5.609,,DE,,,,NY SD,James L. Garrity Jr.,,204,,,204,439,141,508,236,9,11,1,9.8,,Gilbert Robinson,-5.609,,19,free fall,657,6.00,10.00,7.75,10.50,6.00,7.50,4.75,,,Refiled,emerged no refile 5,yes,,,no,,,299,,,299,"643,967,645",,Yes,Eating Places,G: Retail Trade,581 Eating and Drinking Places,58 Eating and Drinking Places,5812,,Not tort,,,no,no,,,no,no,,,,,,"252,980,000",voluntary,1992,1992,1992,1991,9.4
Glenoit Corp.,,217,,,217,373,,,,,,,,00-03309,,,Thomas J. O'Gorman,Begin month and day are approximate,Replaced,0001047368,,,Wilmington,Wilmington,11,Wilmington,,,,,,no,,,,no,,,,no,,,,181.0,172.8,378762,934,1/1/2000,,,1/1/2000,1/1/2000,,,,,,,7/1/1991,12/9/2001,,,9/27/2002,,,,9/27/2002,10/11/2002,9/27/2002,,8/8/2000,1/1/1988,,,,-431,,,780,DE,Alston Bird,,"Young, Conaway, Stargatt & Taylor LLP  / Alston & Bird LLP",,yes,,,,,,,confirmed,DE,,,,,,1096,yes,docs after date,no,21.820,37.477,34.099,,,yes,no,"1,660",,95,,no,,no,no,80,,,83.252,81.112,,85.949,78.012,88.950,74.438,126894,,New York,2.84%,"8,008,278",NY New York,106,NY,107,1,-13.288,,DE,,,,IL ND,Ronald S. Barliant,Peter J. Walsh,276,,,276,474,,,,9,8,,26.0,,Glenoit LLC,-13.288,,,prepackaged,77,4.00,8.00,4.75,8.50,4.75,9.50,,,No. No 10k for any years,,emerged no refile 5,yes,,no,no,no,no,295,172,147,295,"506,212,360",,Yes,,D: Manufacturing,225 Knitting Mills,22 Textile Mill Products,2250,,Not tort,,,no,no,,,no,no,,,,,,"282,160,000",voluntary,2002,2002,2002,2000,
Global Aviation Holdings Inc. (2012),,,690,,690,900,,769,590,,,,,12-40783,13-12945,,Robert R. Binns,"Replaced by interim CEO Charlie McDonald ""shortly after"" emergence",Replaced,0001397867,,,Brooklyn,Other,11,Brooklyn,Delaware,yes,Kurtzman Carson Consultants LLC,,,yes,Lowenstein Sandler,Lowenstein Sandler PC,,no,,,,no,,,"World Airways, Inc., North American Airlines, Inc.",229.6,227.7,37990V,204,,12/31/2010,,12/31/2010,12/31/2010,,,,,,,4/14/2008,3/15/2013,2/13/2012,,12/10/2012,,3/30/2012,10/19/2012,12/10/2012,2/13/2013,12/10/2012,,2/5/2012,2/28/2000,11/12/2013,,,,337,,309,OT,Kirkland Ellis,Kirkland & Ellis LLP,,,yes,Beach Point Capital Management LP; Guggenheim Investment Management LLC; IN-FP2 LLC; Chatham Credit Management III LLC,45,,,,yes,confirmed,NY ED,,,,,,823,yes,yes,yes,21.263,27.720,114.185,,,yes,no,"2,012",,"1,265",,no,,no,pending,24,,,100.283,99.545,102.823,102.823,97.022,105.459,95.091,028248,,Peachtree City,0.01%,"34,701",GA Newnan,676,GA,770,12,-26.149,,DE,,,,NY ED,Carla E. Craig,Carla E. Craig,,520,,520,678,,643,493,12,2,11,10.3,,Global Aviation Holdings Inc.,-26.149,,9,free fall,948,3.25,3.25,3.25,3.25,3.25,3.25,3.25,,,Refiled,emerged refile 5,yes,,no,no,no,no,,"1,157",,"1,157","1,508,040,285",,Yes,"Air Transportation, Nonscheduled","E: Transportation, Communications, Electric, Gas","452 Air Transportation, Nonscheduled",45 Transportation By Air,4522,,Not tort,,,no,,,,,,none,no turnfirm,none,no,none,"313,910,000",voluntary,2012,2012,2012,2012,0.9
